id,folder,fname,sample_type,label,modified_mac
1947.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_41573_54-229-194-62_443.pcap.Seconds_1451331000.pcap.Seconds_1451331256.pcap,1.0,18101.0,00:46:b5:07:9b:40
1948.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_38875_173-194-157-44_443.pcap.Seconds_1451328600.pcap.Seconds_1451329108.pcap,1.0,17101.0,00:42:cd:07:9c:40
1949.0,l_hi_chrome,L_cyber_chrome_10-15__21_46_44.pcap.TCP_10-0-0-19_34265_192-229-233-25_443.pcap.Seconds_1444953600.pcap.Seconds_1444953604.pcap,1.0,16101.0,00:3e:e5:07:9d:40
1950.0,l_hi_chrome,L_cyber_chrome_10-15__21_46_44.pcap.TCP_10-0-0-19_41466_192-229-233-25_443.pcap.Seconds_1444986600.pcap.Seconds_1444986882.pcap,1.0,16101.0,00:3e:e5:07:9e:40
1951.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_40559_94-31-29-154_443.pcap.Seconds_1451331600.pcap.Seconds_1451332139.pcap,1.0,18101.0,00:46:b5:07:9f:40
1952.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_57332_77-238-163-222_443.pcap.Seconds_1451325600.pcap.Seconds_1451326194.pcap,1.0,18101.0,00:46:b5:07:a0:40
1953.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_39307_212-179-154-216_443.pcap.Seconds_1451332200.pcap.Seconds_1451332474.pcap,1.0,13101.0,00:33:2d:07:a1:40
1954.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data2.pcap.TCP_10-0-0-8_46750_54-230-79-34_443.pcap.Seconds_1451331000.pcap.Seconds_1451331550.pcap,1.0,18101.0,00:46:b5:07:a2:40
1955.0,l_hi_chrome,L_hi_chrome_linux_chrome_alot_of_data.pcap.TCP_10-0-0-8_34233_93-184-220-127_443.pcap.Seconds_1451325600.pcap.Seconds_1451325715.pcap,1.0,18101.0,00:46:b5:07:a3:40
1956.0,l_hi_chrome,L_cyber_chrome_09-09__19_35_56.pcap.TCP_10-0-0-14_55956_199-59-148-10_443.pcap.Seconds_1441838400.pcap.Seconds_1441838476.pcap,1.0,16101.0,00:3e:e5:07:a4:40
